id_mesa,id_partido,votos,fecha_hora
e1a17865-f864-4288-9a25-2f97ac81ef63,21e85fd0-fcba-47e5-8872-36d163e7a34f,39,2025-05-23 17:29:36
e1a17865-f864-4288-9a25-2f97ac81ef63,07f93b46-14e9-442a-a7fb-99f381a086aa,1,2025-05-24 10:54:36
e1a17865-f864-4288-9a25-2f97ac81ef63,d25a7349-ec24-4657-8312-d8ac7cbd9be3,8,2025-05-24 07:24:36
e1a17865-f864-4288-9a25-2f97ac81ef63,9776b76f-9e9e-4abb-8f80-ff4941f703f7,2,2025-05-24 08:50:36
e1a17865-f864-4288-9a25-2f97ac81ef63,e11230b5-e340-4183-904c-37702014a129,10,2025-05-23 14:01:36
e1a17865-f864-4288-9a25-2f97ac81ef63,c751c898-4d8f-42f6-85fb-9afafa0b0be8,5,2025-05-24 00:40:36
e1a17865-f864-4288-9a25-2f97ac81ef63,360ccd04-f6ac-4780-9993-294fb055383e,5,2025-05-24 07:21:36
e1a17865-f864-4288-9a25-2f97ac81ef63,f3f2f75f-1298-473b-8e7d-4de745b91715,5,2025-05-23 13:31:36
e1a17865-f864-4288-9a25-2f97ac81ef63,e655a2d3-5371-4ba4-9776-3435aa4c26c5,6,2025-05-24 01:13:36
e1a17865-f864-4288-9a25-2f97ac81ef63,aeb0001b-c798-4894-a55c-6bb67a5a959f,4,2025-05-24 07:38:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,21e85fd0-fcba-47e5-8872-36d163e7a34f,10,2025-05-24 03:36:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,07f93b46-14e9-442a-a7fb-99f381a086aa,17,2025-05-23 19:22:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,d25a7349-ec24-4657-8312-d8ac7cbd9be3,8,2025-05-23 15:53:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,9776b76f-9e9e-4abb-8f80-ff4941f703f7,9,2025-05-24 05:38:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,e11230b5-e340-4183-904c-37702014a129,5,2025-05-23 17:53:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,c751c898-4d8f-42f6-85fb-9afafa0b0be8,3,2025-05-24 07:21:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,360ccd04-f6ac-4780-9993-294fb055383e,4,2025-05-24 08:48:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,f3f2f75f-1298-473b-8e7d-4de745b91715,2,2025-05-23 15:14:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,e655a2d3-5371-4ba4-9776-3435aa4c26c5,1,2025-05-24 08:57:36
5bd525ed-07e4-42b9-bac0-222dd7eb995f,aeb0001b-c798-4894-a55c-6bb67a5a959f,2,2025-05-24 07:48:36
8bb5eef2-fd21-4835-adff-eb2d84366166,21e85fd0-fcba-47e5-8872-36d163e7a34f,25,2025-05-23 14:05:36
8bb5eef2-fd21-4835-adff-eb2d84366166,07f93b46-14e9-442a-a7fb-99f381a086aa,18,2025-05-24 04:28:36
8bb5eef2-fd21-4835-adff-eb2d84366166,d25a7349-ec24-4657-8312-d8ac7cbd9be3,3,2025-05-23 22:28:36
8bb5eef2-fd21-4835-adff-eb2d84366166,9776b76f-9e9e-4abb-8f80-ff4941f703f7,30,2025-05-24 10:36:36
8bb5eef2-fd21-4835-adff-eb2d84366166,e11230b5-e340-4183-904c-37702014a129,1,2025-05-24 00:02:36
8bb5eef2-fd21-4835-adff-eb2d84366166,c751c898-4d8f-42f6-85fb-9afafa0b0be8,0,2025-05-23 21:15:36
8bb5eef2-fd21-4835-adff-eb2d84366166,360ccd04-f6ac-4780-9993-294fb055383e,1,2025-05-24 00:19:36
8bb5eef2-fd21-4835-adff-eb2d84366166,f3f2f75f-1298-473b-8e7d-4de745b91715,1,2025-05-23 13:28:36
8bb5eef2-fd21-4835-adff-eb2d84366166,e655a2d3-5371-4ba4-9776-3435aa4c26c5,0,2025-05-24 02:25:36
8bb5eef2-fd21-4835-adff-eb2d84366166,aeb0001b-c798-4894-a55c-6bb67a5a959f,5,2025-05-24 09:30:36
3739333e-e913-4189-81a7-785a06444a83,21e85fd0-fcba-47e5-8872-36d163e7a34f,1,2025-05-23 17:35:36
3739333e-e913-4189-81a7-785a06444a83,07f93b46-14e9-442a-a7fb-99f381a086aa,6,2025-05-24 10:18:36
3739333e-e913-4189-81a7-785a06444a83,d25a7349-ec24-4657-8312-d8ac7cbd9be3,16,2025-05-23 22:52:36
3739333e-e913-4189-81a7-785a06444a83,9776b76f-9e9e-4abb-8f80-ff4941f703f7,6,2025-05-23 21:28:36
3739333e-e913-4189-81a7-785a06444a83,e11230b5-e340-4183-904c-37702014a129,9,2025-05-24 04:29:36
3739333e-e913-4189-81a7-785a06444a83,c751c898-4d8f-42f6-85fb-9afafa0b0be8,2,2025-05-24 08:56:36
3739333e-e913-4189-81a7-785a06444a83,360ccd04-f6ac-4780-9993-294fb055383e,3,2025-05-23 20:46:36
3739333e-e913-4189-81a7-785a06444a83,f3f2f75f-1298-473b-8e7d-4de745b91715,3,2025-05-24 11:10:36
3739333e-e913-4189-81a7-785a06444a83,e655a2d3-5371-4ba4-9776-3435aa4c26c5,3,2025-05-23 20:04:36
3739333e-e913-4189-81a7-785a06444a83,aeb0001b-c798-4894-a55c-6bb67a5a959f,0,2025-05-23 16:34:36
83712df5-5fff-4c97-8fac-efe4ef542edb,21e85fd0-fcba-47e5-8872-36d163e7a34f,20,2025-05-24 00:11:36
83712df5-5fff-4c97-8fac-efe4ef542edb,07f93b46-14e9-442a-a7fb-99f381a086aa,17,2025-05-23 21:40:36
83712df5-5fff-4c97-8fac-efe4ef542edb,d25a7349-ec24-4657-8312-d8ac7cbd9be3,20,2025-05-23 15:25:36
83712df5-5fff-4c97-8fac-efe4ef542edb,9776b76f-9e9e-4abb-8f80-ff4941f703f7,25,2025-05-24 00:39:36
83712df5-5fff-4c97-8fac-efe4ef542edb,e11230b5-e340-4183-904c-37702014a129,12,2025-05-23 17:56:36
83712df5-5fff-4c97-8fac-efe4ef542edb,c751c898-4d8f-42f6-85fb-9afafa0b0be8,11,2025-05-24 11:03:36
83712df5-5fff-4c97-8fac-efe4ef542edb,360ccd04-f6ac-4780-9993-294fb055383e,7,2025-05-24 06:27:36
83712df5-5fff-4c97-8fac-efe4ef542edb,f3f2f75f-1298-473b-8e7d-4de745b91715,3,2025-05-23 15:28:36
83712df5-5fff-4c97-8fac-efe4ef542edb,e655a2d3-5371-4ba4-9776-3435aa4c26c5,3,2025-05-24 04:04:36
83712df5-5fff-4c97-8fac-efe4ef542edb,aeb0001b-c798-4894-a55c-6bb67a5a959f,3,2025-05-24 03:49:36
ebb736f2-4d46-4b4f-9d72-083512798f57,21e85fd0-fcba-47e5-8872-36d163e7a34f,19,2025-05-23 14:57:36
ebb736f2-4d46-4b4f-9d72-083512798f57,07f93b46-14e9-442a-a7fb-99f381a086aa,23,2025-05-24 02:15:36
ebb736f2-4d46-4b4f-9d72-083512798f57,d25a7349-ec24-4657-8312-d8ac7cbd9be3,12,2025-05-24 00:00:36
ebb736f2-4d46-4b4f-9d72-083512798f57,9776b76f-9e9e-4abb-8f80-ff4941f703f7,7,2025-05-24 10:01:36
ebb736f2-4d46-4b4f-9d72-083512798f57,e11230b5-e340-4183-904c-37702014a129,5,2025-05-24 05:44:36
ebb736f2-4d46-4b4f-9d72-083512798f57,c751c898-4d8f-42f6-85fb-9afafa0b0be8,15,2025-05-24 09:52:36
ebb736f2-4d46-4b4f-9d72-083512798f57,360ccd04-f6ac-4780-9993-294fb055383e,3,2025-05-24 05:05:36
ebb736f2-4d46-4b4f-9d72-083512798f57,f3f2f75f-1298-473b-8e7d-4de745b91715,2,2025-05-24 02:26:36
ebb736f2-4d46-4b4f-9d72-083512798f57,e655a2d3-5371-4ba4-9776-3435aa4c26c5,1,2025-05-24 12:11:36
